Index,url,Absolute reduction,Max. efficiency (%),Width (mm),Weight (g),Outer diameter (mm)
57,https://www.maxongroup.com/maxon/view/product/gear/planetary/gp42/838249,156/1,72.0,70.0,460,42.0
58,https://www.maxongroup.com/maxon/view/product/gear/planetary/gp42/838250,26/1,81.0,55.5,360,42.0
59,https://www.maxongroup.com/maxon/view/product/gear/planetary/gp42/838252,13/3,90.0,41.0,260,42.0
60,https://www.maxongroup.com/maxon/view/product/gear/planetary/gp42/838271,343/8,72.0,70.0,460,42.0
61,https://www.maxongroup.com/maxon/view/product/gear/planetary/GPX/GPX4/GPX4-4-Stufig-C/GPX04CASLH10280CPLW,4100625/14641,65.0,12.65,1,4.0
62,https://www.maxongroup.com/maxon/view/product/gear/planetary/GPX/GPX4/GPX4-2-Stufig-C/GPX04CASLH117D0CPLW,2025/121,76.0,9.25,1,4.0
63,https://www.maxongroup.com/maxon/view/product/gear/planetary/GPX/GPX4/GPX4-3-Stufig-C/GPX04CASLH168D0CPLW,91125/1331,70.0,10.95,1,4.0
64,https://www.maxongroup.com/maxon/view/product/gear/planetary/GPX/GPX6/GPX6-4-Stufig-A/GPX06AAKLSL0221CPLW,531441/2401,60.0,13.0,3,6.0
65,https://www.maxongroup.com/maxon/view/product/gear/planetary/GPX/GPX6/GPX6-1-Stufig-A/GPX06AAKLSL03D9CPLW,27/7,88.0,5.3,2,6.0
66,https://www.maxongroup.com/maxon/view/product/gear/planetary/GPX/GPX6/GPX6-5-Stufig-A/GPX06AAKLSL0854CPLW,14348907/16807,52.0,15.6,3,6.0
67,https://www.maxongroup.com/maxon/view/product/gear/planetary/GPX/GPX6/GPX6-2-Stufig-A/GPX06AAKLSL15D0CPLW,729/49,77.0,7.8,2,6.0
68,https://www.maxongroup.com/maxon/view/product/gear/planetary/GPX/GPX6/GPX6-3-Stufig-A/GPX06AAKLSL57D0CPLW,19683/343,68.0,10.4,2,6.0
69,https://www.maxongroup.com/maxon/view/product/gear/planetary/GPX/GPX8/GPX08AAKLSL0216CPLW,216/1,66.0,11.1,4,8.0
70,https://www.maxongroup.com/maxon/view/product/gear/planetary/GPX/GPX8/GPX08AAKLSL0256CPLW,256/1,65.0,13.3,4,8.0
71,https://www.maxongroup.com/maxon/view/product/gear/planetary/GPX/GPX8/GPX08AAKLSL04D0CPLW,4/1,90.0,5.5,3,8.0
72,https://www.maxongroup.com/maxon/view/product/gear/planetary/GPX/GPX8/GPX08AAKLSL1024CPLW,1024/1,59.0,15.9,5,8.0
73,https://www.maxongroup.com/maxon/view/product/gear/planetary/GPX/GPX8/GPX08AAKLSL1296CPLW,1296/1,57.0,13.9,4,8.0
74,https://www.maxongroup.com/maxon/view/product/gear/planetary/GPX/GPX8/GPX08AAKLSL16D0CPLW,16/1,81.0,8.1,3,8.0
75,https://www.maxongroup.com/maxon/view/product/gear/planetary/GPX/GPX8/GPX08AAKLSL36D0CPLW,36/1,76.0,8.3,3,8.0
76,https://www.maxongroup.com/maxon/view/product/gear/planetary/GPX/GPX8/GPX08AAKLSL64D0CPLW,64/1,73.0,10.7,4,8.0
77,https://www.maxongroup.com/maxon/view/product/gear/planetary/GPX/GPX10/GPX10A1ST0004,4/1,90.0,9.9,7,10.0
78,https://www.maxongroup.com/maxon/view/product/gear/planetary/GPX/GPX10/GPX10A2ST0016,16/1,81.0,13.4,7,10.0
79,https://www.maxongroup.com/maxon/view/product/gear/planetary/GPX/GPX10/GPX10A3ST0064,64/1,73.0,16.6,8,10.0
80,https://www.maxongroup.com/maxon/view/product/gear/planetary/GPX/GPX10/GPX10A4ST0256,256/1,65.0,19.8,8,10.0
81,https://www.maxongroup.com/maxon/view/product/gear/planetary/GPX/GPX10/GPX10A5ST1024,1024/1,59.0,23.0,9,10.0
82,https://www.maxongroup.com/maxon/view/product/gear/planetary/GPX/GPX12/GPX12-3-Stufig-A/GPX12AAKLSL0150CPLW,328509/2197,75.0,25.2,17,12.0
83,https://www.maxongroup.com/maxon/view/product/gear/planetary/GPX/GPX12/GPX12-3-Stufig-A/GPX12AAKLSL0231CPLW,300564/1300,75.0,25.2,17,12.0
84,https://www.maxongroup.com/maxon/view/product/gear/planetary/GPX/GPX12/GPX12-4-Stufig-A/GPX12AAKLSL0243CPLW,31640625/130321,65.0,30.1,19,12.0
85,https://www.maxongroup.com/maxon/view/product/gear/planetary/GPX/GPX12/GPX12-1-Stufig-A/GPX12AAKLSL03D9CPLW,75/19,90.0,15.5,11,12.0
86,https://www.maxongroup.com/maxon/view/product/gear/planetary/GPX/GPX12/GPX12-1-Stufig-A/GPX12AAKLSL05D3CPLW,69/13,90.0,15.5,11,12.0
