index,url,Gearhead type,Version,Reduction (:1),Absolute reduction,Number of stages,Max. continuous torque (Nm),Max. intermittent torque (Nm),"Direction of rotation, drive to output",Max. efficiency (%),Gearhead length (L1) (mm),Bearing at output,Max. radial load,Max. axial load (dynamic) (N),Max. continuous input speed (rpm),Max. intermittent input speed (rpm),Recommended temperature range (°C),Weight (g),Outer diameter (mm),Average backlash no load (°),Max. motor shaft diameter (mm),Mass inertia (gcm²),Max. transmittable power (continuous) (W),Max. transmittable power (intermittent) (W),Radial play,Axial play (mm),Max. force for press fits (N),Extended temperature range (°C),Number of autoclave cycles,Max. feed velocity (mm/s),Max. feed force continuous (N),Max. feed force intermittent (N),Mechanical positioning accuracy (mm),Spindle length (mm),Axial play of the nut (mm)
18,https://www.maxongroup.com/maxon/view/product/gear/planetary/gp22/110340,GP,Standard version,370,10556001/28561,4,1,1.6,=,49,43,ball bearing,"55 N, 10 mm from flange",100,6000,6000,-40...+100,81,22,2,3.2,0.3,1.3,2.1,"0.2 mm, 10 mm from flange",0 - 0.2,100,100...+100,0.0,,,,,,
19,https://www.maxongroup.com/maxon/view/product/gear/planetary/gp22/134158,GP,Standard version,14,225/16,2,0.5,0.8,=,70,29.4,ball bearing,"50 N, 10 mm from flange",100,6000,6000,-40...+100,55,22,1.2,4,0.4,17,26,"0.2 mm, 10 mm from flange",0 - 0.2,100,100...+100,0.0,,,,,,
20,https://www.maxongroup.com/maxon/view/product/gear/planetary/gp22/134170,GP,Standard version,128,41553/325,3,0.8,1.2,=,59,36.2,ball bearing,"55 N, 10 mm from flange",100,6000,6000,-40...+100,68,22,1.6,3.2,0.4,5.6,8.5,"0.2 mm, 10 mm from flange",0 - 0.2,100,100...+100,0.0,,,,,,
21,https://www.maxongroup.com/maxon/view/product/gear/planetary/gp22/143974,GP,Ceramic version,14,225/16,2,0.6,0.9,=,70,32.2,ball bearing,"50 N, 10 mm from flange",100,8000,8000,-40...+100,55,22,1.2,4,0.4,36,54,"0.2 mm, 10 mm from flange",0 - 0.2,100,100...+100,0.0,,,,,,
22,https://www.maxongroup.com/maxon/view/product/gear/planetary/gp22/143984,GP,Ceramic version,84,185193/2197,3,1.2,1.9,=,59,39,ball bearing,"55 N, 10 mm from flange",100,8000,8000,-40...+100,68,22,1.6,3.2,0.4,12,19,"0.2 mm, 10 mm from flange",0 - 0.2,100,100...+100,0.0,,,,,,
23,https://www.maxongroup.com/maxon/view/product/gear/planetary/gp22/143988,GP,Ceramic version,128,41553/325,3,1.2,1.9,=,59,39,ball bearing,"55 N, 10 mm from flange",100,8000,8000,-40...+100,68,22,1.6,3.2,0.4,7.9,12,"0.2 mm, 10 mm from flange",0 - 0.2,100,100...+100,0.0,,,,,,
24,https://www.maxongroup.com/maxon/view/product/gear/planetary/gp22/143996,GP,Ceramic version,370,10556001/28561,4,1.8,2.7,=,49,45.8,ball bearing,"55 N, 10 mm from flange",100,8000,8000,-40...+100,81,22,2,3.2,0.4,4.1,6.1,"0.2 mm, 10 mm from flange",0 - 0.2,100,100...+100,0.0,,,,,,
25,https://www.maxongroup.com/maxon/view/product/gear/planetary/gp32/166159,GP,Standard version,18,624/35,2,2.25,3.4,=,75,36.4,ball bearing,"140 N, 10 mm from flange",120,6000,6000,-40...+100,162,32,0.8,4,0.8,61,76,"0.14 mm, 5 mm from flange",0.4,120,100...+100,0.0,,,,,,
26,https://www.maxongroup.com/maxon/view/product/gear/planetary/gp32/166165,GP,Standard version,66,16224/245,3,4.5,6.5,=,70,43.1,ball bearing,"200 N, 10 mm from flange",120,6000,6000,-40...+100,194,32,1,4,0.7,25,38,"0.14 mm, 5 mm from flange",0.4,120,100...+100,0.0,,,,,,
27,https://www.maxongroup.com/maxon/view/product/gear/planetary/gp32/166169,GP,Standard version,111,13824/125,3,4.5,6.5,=,70,43.1,ball bearing,"200 N, 10 mm from flange",120,6000,6000,-40...+100,194,32,1,4,0.7,25,38,"0.14 mm, 5 mm from flange",0.4,120,100...+100,0.0,,,,,,
28,https://www.maxongroup.com/maxon/view/product/gear/planetary/gp32/166174,GP,Standard version,246,421824/1715,4,4.5,6.5,=,60,49.8,ball bearing,"200 N, 10 mm from flange",120,6000,6000,-40...+100,226,32,1,4,0.7,7.5,9.4,"0.14 mm, 5 mm from flange",0.4,120,100...+100,0.0,,,,,,
29,https://www.maxongroup.com/maxon/view/product/gear/planetary/gp32/166931,GP,Ceramic version,4.8,24/5,1,1,1.25,=,80,26.5,ball bearing,"90 N, 10 mm from flange",120,8000,8000,-40...+100,118,32,0.7,4,1.5,170,220,"0.14 mm, 5 mm from flange",0.4,120,100...+100,0.0,,,,,,
30,https://www.maxongroup.com/maxon/view/product/gear/planetary/gp32/166934,GP,Ceramic version,18,624/35,2,3,3.75,=,75,36.4,ball bearing,"140 N, 10 mm from flange",120,8000,8000,-40...+100,162,32,0.8,4,0.8,140,170,"0.14 mm, 5 mm from flange",0.4,120,100...+100,0.0,,,,,,
31,https://www.maxongroup.com/maxon/view/product/gear/planetary/gp32/166940,GP,Ceramic version,66,16224/245,3,6,7.5,=,70,43.1,ball bearing,"200 N, 10 mm from flange",120,8000,8000,-40...+100,194,32,1,4,0.7,76,95,"0.14 mm, 5 mm from flange",0.4,120,100...+100,0.0,,,,,,
32,https://www.maxongroup.com/maxon/view/product/gear/planetary/gp32/166944,GP,Ceramic version,111,13824/125,3,6,7.5,=,70,43.1,ball bearing,"200 N, 10 mm from flange",120,8000,8000,-40...+100,194,32,1,4,0.7,45,57,"0.14 mm, 5 mm from flange",0.4,120,100...+100,0.0,,,,,,
33,https://www.maxongroup.com/maxon/view/product/gear/planetary/gp32/166951,GP,Ceramic version,318,389376/1225,4,6,7.5,=,60,49.8,ball bearing,"220 N, 10 mm from flange",120,8000,8000,-40...+100,226,32,1,4,0.7,16,20,"0.14 mm, 5 mm from flange",0.4,120,100...+100,0.0,,,,,,
34,https://www.maxongroup.com/maxon/view/product/gear/planetary/gp42/203114,GP,Ceramic version,4.3,13/3,1,3,4.5,=,90,41,ball bearing,"120 N, 12 mm from flange",150,8000,8000,-40...+100,260,42,0.6,8,9.1,580,880,"0.06 mm, 12 mm from flange",0.3,300,100...+100,0.0,,,,,,
35,https://www.maxongroup.com/maxon/view/product/gear/planetary/gp42/203116,GP,Ceramic version,15,91/6,2,7.5,11.3,=,81,55.5,ball bearing,"240 N, 12 mm from flange",150,8000,8000,-40...+100,360,42,0.8,10,15,420,630,"0.06 mm, 12 mm from flange",0.3,300,100...+100,0.0,,,,,,
36,https://www.maxongroup.com/maxon/view/product/gear/planetary/gp42/203119,GP,Ceramic version,26,26/1,2,7.5,11.3,=,81,55.5,ball bearing,"240 N, 12 mm from flange",150,8000,8000,-40...+100,360,42,0.8,8,9.1,240,360,"0.06 mm, 12 mm from flange",0.3,300,100...+100,0.0,,,,,,
37,https://www.maxongroup.com/maxon/view/product/gear/planetary/gp42/203120,GP,Ceramic version,43,343/8,3,15,22,=,72,70,ball bearing,"360 N, 12 mm from flange",150,8000,8000,-40...+100,460,42,1,10,15,290,430,"0.06 mm, 12 mm from flange",0.3,300,100...+100,0.0,,,,,,
38,https://www.maxongroup.com/maxon/view/product/gear/planetary/gp42/203129,GP,Ceramic version,156,156/1,3,15,22,=,72,70,ball bearing,"360 N, 12 mm from flange",150,8000,8000,-40...+100,460,42,1,8,9.1,81,120,"0.06 mm, 12 mm from flange",0.3,300,100...+100,0.0,,,,,,
39,https://www.maxongroup.com/maxon/view/product/gear/planetary/gp52/223081,GP,Ceramic version,4.3,13/3,1,4,6,=,91,49,ball bearing,"420 N, 12 mm from flange",200,6000,6000,-15...+80,460,52,0.6,8,12,580,880,"0.06 mm, 12 mm from flange",0 - 0.3,500,-40...+100,0.0,,,,,,
40,https://www.maxongroup.com/maxon/view/product/gear/planetary/gp52/223085,GP,Ceramic version,19,169/9,2,15,22.5,=,83,65,ball bearing,"630 N, 12 mm from flange",200,6000,6000,-15...+80,620,52,0.8,8,9.5,500,740,"0.06 mm, 12 mm from flange",0 - 0.3,500,-40...+100,0.0,,,,,,
