index,url,Nominal voltage,No load speed,No load current,Nominal speed,Nominal torque (max. continuous torque),Nominal current (max. continuous current),Stall torque,Stall current,Max. efficiency,Terminal resistance,Terminal inductance,Torque constant,Speed constant,Speed / torque gradient,Mechanical time constant,Rotor inertia,Thermal resistance housing-ambient,Thermal resistance winding-housing,Thermal time constant winding,Thermal time constant motor,Ambient temperature,Max. winding temperature,Max. speed,Axial play,,Radial play,Max. axial load (dynamic),Max. force for press fits (static),"(static, shaft supported)",Max. radial load,Number of pole pairs,Number of phases,Number of autoclave cycles,Weight,Bearing type,Number of commutator segments,Protection
441,https://www.maxongroup.com/maxon/view/product/motor/ecmotor/ecflat/ecflat60/647693,12 V,3760 rpm,815 mA,2990 rpm,378 mNm,12 A,2200 mNm,111 A,84 %,0.108 Ω,0.0911 mH,30 mNm/A,318 rpm/V,1.14 rpm/mNm,9.69 ms,810 gcm²,2.09 K/W,1.52 K/W,15.1 s,75.1 s,-40...+100 °C,+125 °C,6000 rpm,"0 mm, at radial load < 12 N ","0.14 mm, at radial load > 12 N ",N/A,12 N,170 N,8000 N,"112 N, 5 mm from flange ",7 ,3 ,0 ,365 g,ball bearings ,N/A,N/A
442,https://www.maxongroup.com/maxon/view/product/motor/ecmotor/ecflat/ecflat60/647694,24 V,4300 rpm,497 mA,3480 rpm,405 mNm,7.29 A,2510 mNm,83.2 A,85 %,0.288 Ω,0.279 mH,52.5 mNm/A,182 rpm/V,0.998 rpm/mNm,8.46 ms,810 gcm²,1.94 K/W,1.48 K/W,16.1 s,69.9 s,-40...+100 °C,+125 °C,6000 rpm,"0 mm, at radial load < 12 N ","0.14 mm, at radial load > 12 N ",N/A,12 N,170 N,8000 N,"112 N, 5 mm from flange ",7 ,3 ,0 ,365 g,ball bearings ,N/A,N/A
443,https://www.maxongroup.com/maxon/view/product/motor/ecmotor/ecflat/ecflat60/647695,48 V,4020 rpm,224 mA,3230 rpm,441 mNm,3.66 A,2650 mNm,43.9 A,86 %,1.09 Ω,1.28 mH,113 mNm/A,84.8 rpm/V,0.823 rpm/mNm,6.98 ms,810 gcm²,2.01 K/W,1.5 K/W,19.6 s,72.5 s,-40...+100 °C,+125 °C,6000 rpm,"0 mm, at radial load < 12 N ","0.14 mm, at radial load > 12 N ",N/A,12 N,170 N,8000 N,"112 N, 5 mm from flange ",7 ,3 ,0 ,365 g,ball bearings ,N/A,N/A
444,https://www.maxongroup.com/maxon/view/product/motor/ecmotor/ecflat/ecflat60/647696,12 V,3760 rpm,815 mA,2790 rpm,496 mNm,15.2 A,2210 mNm,113 A,84 %,0.106 Ω,0.0911 mH,30 mNm/A,318 rpm/V,1.13 rpm/mNm,9.8 ms,832 gcm²,1.36 K/W,0.891 K/W,8.88 s,49 s,-40...+100 °C,+125 °C,6000 rpm,"0 mm, at radial load < 12 N ","0.14 mm, at radial load > 12 N ",N/A,12 N,170 N,8000 N,"112 N, 5 mm from flange ",7 ,3 ,0 ,375 g,ball bearings ,N/A,N/A
445,https://www.maxongroup.com/maxon/view/product/motor/ecmotor/ecflat/ecflat60/647697,48 V,4020 rpm,224 mA,3020 rpm,581 mNm,4.63 A,2650 mNm,43.9 A,86 %,1.09 Ω,1.28 mH,113 mNm/A,84.8 rpm/V,0.823 rpm/mNm,7.17 ms,832 gcm²,1.29 K/W,0.866 K/W,11.3 s,46.3 s,-40...+100 °C,+125 °C,6000 rpm,"0 mm, at radial load < 12 N ","0.14 mm, at radial load > 12 N ",N/A,12 N,170 N,8000 N,"112 N, 5 mm from flange ",7 ,3 ,0 ,375 g,ball bearings ,N/A,N/A
446,https://www.maxongroup.com/maxon/view/product/motor/ecmotor/EC-i/666603,48 V,4640 rpm,185 mA,3910 rpm,343 mNm,3.31 A,2880 mNm,55.7 A,89 %,0.862 Ω,0.922 mH,97.8 mNm/A,97.7 rpm/V,0.862 rpm/mNm,0.704 ms,78 gcm²,5.08 K/W,0.6 K/W,19.8 s,1490 s,-40...+100 °C,+155 °C,8000 rpm,"0 mm, at radial load < 9 N ","0.15 mm, at radial load > 9 N ",N/A,7.47 N,87 N,3000 N,"29.9 N, 5 mm from flange ",8 ,3 ,0 ,587 g,N/A,N/A,N/A
447,https://www.maxongroup.com/maxon/view/product/motor/ecmotor/EC-i/676600,24 V,4730 rpm,379 mA,3990 rpm,301 mNm,6.05 A,2650 mNm,86.6 A,87 %,0.277 Ω,0.222 mH,47.9 mNm/A,199 rpm/V,1.15 rpm/mNm,0.942 ms,78 gcm²,5.08 K/W,0.6 K/W,15.5 s,1490 s,-40...+100 °C,+155 °C,8000 rpm,"0 mm, at radial load < 9 N ","0.15 mm, at radial load > 9 N ",N/A,7.47 N,87 N,3000 N,"29.9 N, 5 mm from flange ",8 ,3 ,0 ,587 g,ball bearings ,N/A,N/A
448,https://www.maxongroup.com/maxon/view/product/motor/dcmotor/DC-max/DC-max16/DC-MAX16S01EBKL577,6 V,7890 rpm,14.8 mA,4840 rpm,4.04 mNm,0.575 A,10.5 mNm,1.46 A,81 %,4.1 Ω,0.14 mH,7.19 mNm/A,1330 rpm/V,758 rpm/mNm,8.87 ms,1.12 gcm²,29.8 K/W,5.5 K/W,5.47 s,288 s,-30...+65 °C,+85 °C,11000 rpm,0.05 - 0.15 mm,N/A,0.025 mm,2.2 N,30 N,200 N,"7.8 N, 5 mm from flange ",1 ,N/A,0 ,23 g,Waelzlager ,7 ,N/A
449,https://www.maxongroup.com/maxon/view/product/motor/dcmotor/DC-max/DC-max16/DC-MAX16S01EBKL651,12 V,7550 rpm,7.01 mA,4400 rpm,3.91 mNm,0.267 A,9.44 mNm,0.629 A,80 %,19.1 Ω,0.61 mH,15 mNm/A,637 rpm/V,809 rpm/mNm,8.92 ms,1.05 gcm²,29.8 K/W,5.5 K/W,5.12 s,288 s,-30...+65 °C,+85 °C,11000 rpm,0.05 - 0.15 mm,N/A,0.025 mm,2.2 N,30 N,200 N,"7.8 N, 5 mm from flange ",1 ,N/A,0 ,23 g,Waelzlager ,7 ,N/A
450,https://www.maxongroup.com/maxon/view/product/motor/dcmotor/DC-max/DC-max16/DC-MAX16S01EBKL721,24 V,7470 rpm,3.46 mA,4220 rpm,3.78 mNm,0.128 A,8.75 mNm,0.289 A,80 %,83.2 Ω,2.49 mH,30.3 mNm/A,315 rpm/V,864 rpm/mNm,9 ms,0.994 gcm²,29.8 K/W,5.5 K/W,4.81 s,288 s,-30...+65 °C,+85 °C,11000 rpm,0.05 - 0.15 mm,N/A,0.025 mm,2.2 N,30 N,200 N,"7.8 N, 5 mm from flange ",1 ,N/A,0 ,23 g,Waelzlager ,7 ,N/A
