index,url,Gearhead type,Version,Reduction,Absolute reduction,Number of stages,Max. continuous torque,Max. intermittent torque,"Direction of rotation, drive to output",Max. efficiency,Gearhead length (L1),Bearing at output,Max. radial load,Max. axial load (dynamic),Max. continuous input speed,Max. intermittent input speed,Recommended temperature range,Weight,Outer diameter,Average backlash no load,Max. motor shaft diameter,Mass inertia,Max. transmittable power (continuous),Max. transmittable power (intermittent),Radial play,Axial play,Max. force for press fits,Extended temperature range,Number of autoclave cycles,Max. feed velocity,Max. feed force continuous,Max. feed force intermittent,Mechanical positioning accuracy,Spindle length,Axial play of the nut
12,https://www.maxongroup.com/maxon/view/product/gear/planetary/gp16/110321,GP ,Standard version ,4.4 : 1 ,57/13 ,1 ,0.1 Nm,0.15 Nm,= ,90 %,15.5 mm,sleeve bearing ,"8 N, 6 mm from flange ",8 N,8000 rpm,8000 rpm,-30...+100 °C,20 g,16 mm,1.4 °,2 mm,0.07 gcm²,1.9 W,2.4 W,"max. 0.06 mm, 6 mm from flange ",0.02 - 0.1 mm,100 N,-40...+100 °C,0 ,N/A,N/A,N/A,N/A,N/A,N/A
13,https://www.maxongroup.com/maxon/view/product/gear/planetary/gp16/110322,GP ,Standard version ,19 : 1 ,3249/169 ,2 ,0.15 Nm,0.225 Nm,= ,81 %,19.1 mm,sleeve bearing ,"12 N, 6 mm from flange ",8 N,8000 rpm,8000 rpm,-30...+100 °C,23 g,16 mm,1.6 °,2 mm,0.05 gcm²,5.2 W,6.5 W,"max. 0.06 mm, 6 mm from flange ",0.02 - 0.1 mm,100 N,-40...+100 °C,0 ,N/A,N/A,N/A,N/A,N/A,N/A
14,https://www.maxongroup.com/maxon/view/product/gear/planetary/gp16/110323,GP ,Standard version ,84 : 1 ,185193/2197 ,3 ,0.2 Nm,0.3 Nm,= ,73 %,22.7 mm,sleeve bearing ,"16 N, 6 mm from flange ",8 N,8000 rpm,8000 rpm,-30...+100 °C,27 g,16 mm,2 °,2 mm,0.05 gcm²,1.3 W,1.6 W,"max. 0.06 mm, 6 mm from flange ",0.02 - 0.1 mm,100 N,-40...+100 °C,0 ,N/A,N/A,N/A,N/A,N/A,N/A
15,https://www.maxongroup.com/maxon/view/product/gear/planetary/gp16/110324,GP ,Standard version ,370 : 1 ,10556001/28561 ,4 ,0.25 Nm,0.375 Nm,= ,65 %,26.3 mm,sleeve bearing ,"20 N, 6 mm from flange ",8 N,8000 rpm,8000 rpm,-30...+100 °C,31 g,16 mm,2.4 °,2 mm,0.05 gcm²,0.37 W,0.46 W,"max. 0.06 mm, 6 mm from flange ",0.02 - 0.1 mm,100 N,-40...+100 °C,0 ,N/A,N/A,N/A,N/A,N/A,N/A
16,https://www.maxongroup.com/maxon/view/product/gear/planetary/gp16/110325,GP ,Standard version ,1621 : 1 ,601692057/371293 ,5 ,0.3 Nm,0.45 Nm,= ,59 %,29.9 mm,sleeve bearing ,"20 N, 6 mm from flange ",8 N,8000 rpm,8000 rpm,-30...+100 °C,35 g,16 mm,3 °,2 mm,0.05 gcm²,0.1 W,0.13 W,"max. 0.06 mm, 6 mm from flange ",0.02 - 0.1 mm,100 N,-40...+100 °C,0 ,N/A,N/A,N/A,N/A,N/A,N/A
17,https://www.maxongroup.com/maxon/view/product/gear/planetary/gp22/110339,GP ,Standard version ,84 : 1 ,185193/2197 ,3 ,0.8 Nm,1.2 Nm,= ,59 %,36.2 mm,ball bearing ,"55 N, 10 mm from flange ",100 N,6000 rpm,6000 rpm,-40...+100 °C,68 g,22 mm,1.6 °,3.2 mm,0.4 gcm²,5.6 W,8.5 W,"max. 0.2 mm, 10 mm from flange ",0 - 0.2 mm,100 N,100...+100 °C,0 ,N/A,N/A,N/A,N/A,N/A,N/A
18,https://www.maxongroup.com/maxon/view/product/gear/planetary/gp22/110340,GP ,Standard version ,370 : 1 ,10556001/28561 ,4 ,1 Nm,1.6 Nm,= ,49 %,43 mm,ball bearing ,"55 N, 10 mm from flange ",100 N,6000 rpm,6000 rpm,-40...+100 °C,81 g,22 mm,2 °,3.2 mm,0.3 gcm²,1.3 W,2.1 W,"max. 0.2 mm, 10 mm from flange ",0 - 0.2 mm,100 N,100...+100 °C,0 ,N/A,N/A,N/A,N/A,N/A,N/A
19,https://www.maxongroup.com/maxon/view/product/gear/planetary/gp22/134158,GP ,Standard version ,14 : 1 ,225/16 ,2 ,0.5 Nm,0.8 Nm,= ,70 %,29.4 mm,ball bearing ,"50 N, 10 mm from flange ",100 N,6000 rpm,6000 rpm,-40...+100 °C,55 g,22 mm,1.2 °,4 mm,0.4 gcm²,17 W,26 W,"max. 0.2 mm, 10 mm from flange ",0 - 0.2 mm,100 N,100...+100 °C,0 ,N/A,N/A,N/A,N/A,N/A,N/A
20,https://www.maxongroup.com/maxon/view/product/gear/planetary/gp22/134170,GP ,Standard version ,128 : 1 ,41553/325 ,3 ,0.8 Nm,1.2 Nm,= ,59 %,36.2 mm,ball bearing ,"55 N, 10 mm from flange ",100 N,6000 rpm,6000 rpm,-40...+100 °C,68 g,22 mm,1.6 °,3.2 mm,0.4 gcm²,5.6 W,8.5 W,"max. 0.2 mm, 10 mm from flange ",0 - 0.2 mm,100 N,100...+100 °C,0 ,N/A,N/A,N/A,N/A,N/A,N/A
21,https://www.maxongroup.com/maxon/view/product/gear/planetary/gp22/143974,GP ,Ceramic version ,14 : 1 ,225/16 ,2 ,0.6 Nm,0.9 Nm,= ,70 %,32.2 mm,ball bearing ,"50 N, 10 mm from flange ",100 N,8000 rpm,8000 rpm,-40...+100 °C,55 g,22 mm,1.2 °,4 mm,0.4 gcm²,36 W,54 W,"max. 0.2 mm, 10 mm from flange ",0 - 0.2 mm,100 N,100...+100 °C,0 ,N/A,N/A,N/A,N/A,N/A,N/A
